(mastersThesis) lexie@lexie:~/Desktop/mastersThesis/notebooks/brats23/a2/swinUNETR$ python inference.py 
<frozen importlib._bootstrap_external>:1301: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
======================================================================
Swin UNETR Inference — BraTS 2023
======================================================================
Checkpoint : ./checkpoints/best_model.pth
Data JSON  : ../val_list.json
Device     : cuda
Save preds : False
======================================================================

Loaded checkpoint from epoch 80
  Validation Dice at save — ET: 0.8793  TC: 0.9041  WT: 0.9274  Avg: 0.9036

Model parameters: 62,191,941
Samples to evaluate: 251

Inference:   0%|                                                                                                                                                | 0/251 [00:00<?, ?it/s]monai.metrics.utils get_mask_edges:always_return_as_numpy: Argument `always_return_as_numpy` has been deprecated since version 1.5.0. It will be removed in version 1.7.0. The option is removed and the return type will always be equal to the input type.
Inference:   2%|██▋                                                                                                                                     | 5/251 [00:18<15:01,  3.67s/it]the ground truth of class 0 is all 0, this may result in nan/inf distance.
Inference:  16%|█████████████████████▌                                                                                                                 | 40/251 [02:25<12:36,  3.59s/it]the ground truth of class 1 is all 0, this may result in nan/inf distance.
Inference: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 251/251 [15:10<00:00,  3.63s/it]

======================================================================
Results
======================================================================
                               Dice      HD95
  -------------------------------------------
  ET (Enhancing Tumor)       0.8793      3.92
  TC (Tumor Core)            0.9041      4.74
  WT (Whole Tumor)           0.9274      6.55
  -------------------------------------------
  Average                    0.9036      5.07
======================================================================

Per-case breakdown:
   Idx      ET      TC      WT     Avg   HD95_ET   HD95_TC   HD95_WT   HD95_Avg
  --------------------------------------------------------------------------------
     0  0.9713  0.9853  0.9852  0.9806      1.00      1.00      1.00       1.00
     1  0.9803  0.9865  0.9767  0.9812      1.00      1.00      1.00       1.00
     2  0.6772  0.7245  0.5922  0.6646      3.32      3.16     16.40       7.63
     3  0.9462  0.9848  0.9790  0.9700      1.00      1.00      1.00       1.00
     4  0.7871  0.8473  0.8314  0.8219     15.16     15.86      4.12      11.71
     5  0.0000  0.8968  0.9289  0.6086      0.00     83.33     73.19      52.18
     6  0.9234  0.9366  0.9796  0.9466      4.71      3.00      1.00       2.90
     7  0.9567  0.9628  0.9571  0.9589      2.00      5.10      2.83       3.31
     8  0.9547  0.9868  0.9843  0.9753      1.00      1.00      1.00       1.00
     9  0.9457  0.9702  0.9776  0.9645      2.24      1.00      1.00       1.41
    10  0.9363  0.9356  0.9272  0.9330      1.00      1.73      1.73       1.49
    11  0.9669  0.9823  0.9829  0.9774      1.00      1.00      1.00       1.00
    12  0.8642  0.8809  0.9145  0.8865      1.41      5.00      3.61       3.34
    13  0.8115  0.9299  0.9709  0.9041      3.00      2.24      1.00       2.08
    14  0.7729  0.8726  0.9289  0.8581      3.61      5.10      5.39       4.70
    15  0.9348  0.9399  0.9419  0.9389      1.41      2.24      4.12       2.59
    16  0.9766  0.9892  0.9613  0.9757      1.00      1.00      2.00       1.33
    17  0.9798  0.9811  0.9554  0.9721      1.00      1.00      2.24       1.41
    18  0.9419  0.9073  0.9659  0.9384     36.57     37.67      7.28      27.17
    19  0.9577  0.9894  0.9475  0.9649      1.00      1.00     39.64      13.88
    20  0.7295  0.7338  0.5663  0.6765      6.16      5.94     14.35       8.82
    21  0.8289  0.8409  0.8864  0.8521      1.68      1.41      5.48       2.86
    22  0.8783  0.9180  0.8140  0.8701      2.28      2.24     11.75       5.42
    23  0.8381  0.6711  0.9384  0.8159      2.24     11.18      4.12       5.85
    24  0.8238  0.9326  0.9402  0.8989      1.41      1.73      2.24       1.79
    25  0.0000  0.7810  0.8941  0.5584      0.00     11.53     64.49      25.34
    26  0.7788  0.7430  0.8910  0.8043      4.10      6.08     10.10       6.76
    27  0.8372  0.8903  0.9042  0.8772      1.41      4.69      5.10       3.73
    28  0.9739  0.9851  0.9842  0.9810      1.00      1.00      1.00       1.00
    29  0.9031  0.9066  0.9339  0.9145      1.41      2.00      2.83       2.08
    30  0.6609  0.8414  0.8571  0.7864     36.74     38.22     21.96      32.30
    31  0.9345  0.9527  0.9624  0.9499      1.00      1.41      1.41       1.28
    32  0.9151  0.9312  0.9205  0.9223      3.16      2.45     12.93       6.18
    33  0.9733  0.9840  0.9713  0.9762      1.00      1.00      1.41       1.14
    34  0.8954  0.9324  0.9092  0.9123      1.41      1.73      8.25       3.80
    35  0.5521  0.5078  0.7854  0.6151      7.28      7.35      5.00       6.54
    36  0.4446  0.5827  0.9486  0.6586      3.00      2.24      2.24       2.49
    37  0.9564  0.9668  0.9781  0.9671      1.00      1.00      1.00       1.00
    38  0.0000  0.7556  0.8982  0.5513      0.00      7.81      3.00       3.60
    39  0.8444  0.9028  0.9490  0.8987      2.45      5.66      2.45       3.52
    40  0.0000  0.0000  0.8666  0.2889      0.00      0.00     56.76      18.92
    41  0.8894  0.9336  0.9450  0.9227      1.00      2.45      3.74       2.40
    42  0.9355  0.9595  0.7669  0.8873      1.41      1.41     11.00       4.61
    43  0.8347  0.8182  0.8433  0.8321      3.74      4.47     17.00       8.40
    44  0.9739  0.9848  0.9777  0.9788      1.00      1.00      1.00       1.00
    45  0.9707  0.9869  0.9489  0.9688      1.00      1.00     10.00       4.00
    46  0.9065  0.9044  0.8407  0.8838      1.41      1.73      6.40       3.18
    47  0.8881  0.9281  0.9223  0.9129      3.32      3.32      3.00       3.21
    48  0.9447  0.9792  0.9667  0.9635      1.00      2.00      2.24       1.75
    49  0.9631  0.9679  0.9706  0.9672      1.00      1.41      1.00       1.14
    50  0.9460  0.9615  0.9316  0.9464      1.00      1.41      3.00       1.80
    51  0.9774  0.9778  0.9558  0.9703      1.00      1.00      1.00       1.00
    52  0.9699  0.9803  0.9710  0.9737      1.00      1.00      1.00       1.00
    53  0.7605  0.8954  0.9540  0.8700      2.83      3.00     11.99       5.94
    54  0.8973  0.7105  0.9421  0.8500      1.73     10.39      6.00       6.04
    55  0.9826  0.9925  0.9859  0.9870      1.00      1.00      1.00       1.00
    56  0.6466  0.6751  0.8649  0.7289      1.41      1.41      5.68       2.84
    57  0.9789  0.9841  0.9343  0.9658      1.00      1.00      1.73       1.24
    58  0.9798  0.9827  0.9765  0.9797      1.00      1.00      3.16       1.72
    59  0.9191  0.9624  0.9713  0.9509      1.41      2.24      2.24       1.96
    60  0.9588  0.9883  0.9840  0.9770      1.00      1.00      1.41       1.14
    61  0.8971  0.9373  0.9389  0.9244      2.24      2.24      2.45       2.31
    62  0.9423  0.9615  0.9060  0.9366      1.00      2.24     49.83      17.69
    63  0.8991  0.9512  0.9370  0.9291      1.00      1.00      1.73       1.24
    64  0.8477  0.9568  0.9558  0.9201      2.24      2.83     17.00       7.35
    65  0.9170  0.9533  0.8772  0.9158      1.41      1.73     58.87      20.67
    66  0.8480  0.9375  0.8206  0.8687      2.45      3.16      9.95       5.19
    67  0.9172  0.9608  0.5476  0.8086      1.41      1.00     23.79       8.73
    68  0.8849  0.9257  0.9599  0.9235      1.73      2.24      3.00       2.32
    69  0.9690  0.9686  0.9846  0.9741      1.00      2.00      1.00       1.33
    70  0.0000  0.9180  0.9566  0.6249      0.00      4.47      4.12       2.87
    71  0.4978  0.8024  0.9067  0.7356     19.80      5.66      5.00      10.15
    72  0.9193  0.9709  0.9634  0.9512      2.00      1.41      2.24       1.88
    73  0.9211  0.9742  0.9558  0.9504      1.00      1.00      2.24       1.41
    74  0.9551  0.9764  0.9669  0.9661      1.00      1.41      1.41       1.28
    75  0.5964  0.9110  0.9523  0.8199      3.55      2.24      1.41       2.40
    76  0.9644  0.9407  0.9617  0.9556      1.00      3.00      1.00       1.67
    77  0.9011  0.9677  0.9404  0.9364      1.41      1.41      3.16       2.00
    78  0.9535  0.9735  0.9844  0.9705      1.00      1.41      1.00       1.14
    79  0.9802  0.9861  0.9841  0.9835      1.00      1.00      1.00       1.00
    80  0.9643  0.9835  0.9812  0.9763      1.00      1.00      1.00       1.00
    81  0.8671  0.9431  0.9458  0.9187      2.24      2.24      3.46       2.65
    82  0.3373  0.4328  0.9109  0.5604     17.80     17.94      5.10      13.62
    83  0.9034  0.9084  0.8806  0.8975      4.00      2.00      8.06       4.69
    84  0.8129  0.7921  0.7707  0.7919      4.12      4.24     18.36       8.91
    85  0.8215  0.9231  0.9387  0.8944      1.73      3.00      4.24       2.99
    86  0.9583  0.9780  0.9884  0.9749      1.41      1.00      1.00       1.14
    87  0.9418  0.8921  0.9145  0.9161      1.00     11.83      4.58       5.80
    88  0.9736  0.9779  0.9811  0.9775      1.00      1.00      1.00       1.00
    89  0.6884  0.9045  0.9109  0.8346      6.75      4.24      9.94       6.98
    90  0.9047  0.8643  0.9621  0.9104      1.00      2.00      1.00       1.33
    91  0.9073  0.9748  0.9599  0.9473      1.41      1.41      2.45       1.76
    92  0.8272  0.7134  0.9744  0.8383      2.45      8.94      1.41       4.27
    93  0.9540  0.9788  0.9201  0.9509      1.00      1.00      5.00       2.33
    94  0.9237  0.9630  0.9384  0.9417      1.41      1.41      2.83       1.89
    95  0.7792  0.8374  0.9423  0.8530     34.08     35.46      7.48      25.67
    96  0.7925  0.9036  0.8632  0.8531      3.00      2.24      4.12       3.12
    97  0.9126  0.9607  0.8397  0.9043      1.00      1.00      8.77       3.59
    98  0.9733  0.9868  0.9841  0.9814      1.00      1.00      1.00       1.00
    99  0.9463  0.9712  0.9593  0.9589      1.00      2.24      1.41       1.55
   100  0.9368  0.9405  0.9448  0.9407     18.70     22.91      5.74      15.79
   101  0.9327  0.9634  0.9245  0.9402      1.00      1.73      5.39       2.71
   102  0.9628  0.9915  0.9792  0.9778      1.00      1.00      1.00       1.00
   103  0.5284  0.4693  0.9287  0.6421      5.10      5.39      1.73       4.07
   104  0.9597  0.9718  0.9858  0.9724      1.00      2.45      1.00       1.48
   105  0.5685  0.6139  0.6061  0.5962      3.00      3.00      7.02       4.34
   106  0.7876  0.8077  0.8112  0.8022      1.73      2.24      6.00       3.32
   107  0.9782  0.9876  0.9838  0.9832      1.00      1.00      1.00       1.00
   108  0.9324  0.9642  0.9410  0.9458      1.41      1.73      4.47       2.54
   109  0.9299  0.9493  0.9437  0.9410      1.00      2.24      2.00       1.75
